año,granpremio,posicion1,posicion2,posicion3,valoracion
2008,Australian GP,Hamilton,Heidfeld,Rosberg,7.609
2008,German GP,Hamilton,Piquet,Massa,7.18
2008,Hungarian GP,Kovalainen,Glock,Raikkonen,6.202
2008,European GP,Massa,Hamilton,Kubica,3.977
2008,Belgian GP,Massa,Heidfeld,Hamilton,7.736
2008,Italian GP,Vettel,Kovalainen,Kubica,8.153
2008,Singapore GP,Alonso,Rosberg,Hamilton,6.302
2008,Japanese GP,Alonso,Kubica,Raikkonen,6.66
2008,Chinese GP,Hamilton,Massa,Raikkonen,4.446
2008,Brazilian GP,Massa,Alonso,Raikkonen,8.756
2008,Malaysian GP,Raikkonen,Kubica,Kovalainen,5.738
2008,Bahrain GP,Massa,Raikkonen,Kubica,5.364
2008,Spanish GP,Raikkonen,Massa,Hamilton,5.085
2008,Turkish GP,Massa,Hamilton,Raikkonen,6.816
2008,Monaco GP,Hamilton,Kubica,Massa,8.177
2008,Canadian GP,Kubica,Heidfeld,Coultard,7.809
2008,French GP,Massa,Raikkonen,Trulli,3.977
2008,British GP,Hamilton,Heidfeld,Barichello,8.164
2009,Australian GP,Button,Barichello,Trulli,7.937
2009,Hungarian GP,Hamilton,Raikkonen,Webber,6.808
2009,European GP,Barichello,Hamilton,Raikkonen,5.355
2009,Belgian GP,Raikkonen,Fisichella,Vettel,7.852
2009,Italian GP,Barichello,Button,Raikkonen,7.049
2009,Singapore GP,Hamilton,Glock,Alonso,5.336
2009,Japanese GP,Vettel,Trulli,Hamilton,5.58
2009,Brazilian GP,Webber,Kubica,Hamilton,8.309
2009,Abu Dhabi GP,Vettel,Webber,Button,5.794
2009,Malaysian GP,Button,Heidfeld,Glock,5.284
2009,Chinese GP,Vettel,Webber,Button,6.69
2009,Bahrain GP,Button,Vettel,Trulli,6.42
2009,Spanish GP,Button,Barichello,Webber,5.33
2009,Monaco GP,Button,Barichello,Raikkonen,5.504
2009,Turkish GP,Button,Webber,Vettel,5.276
2009,British GP,Vettel,Webber,Barichello,5.755
2009,German GP,Webber,Vettel,Massa,7.096
2010,Bahrain GP,Alonso,Massa,Hamilton,4.587
2010,British GP,Webber,Hamilton,Rosberg,7.203
2010,German GP,Alonso,Massa,Vettel,3.74
2010,Hungarian GP,Webber,Alonso,Vettel,6.654
2010,Belgian GP,Hamilton,Webber,Kubica,8.368
2010,Italian GP,Alonso,Button,Massa,6.759
2010,Singapore GP,Alonso,Vettel,Webber,7.194
2010,Japanese GP,Vettel,Webber,Alonso,6.642
2010,Korean GP,Alonso,Hamilton,Massa,7.536
2010,Brazilian GP,Vettel,Webber,Alonso,6.253
2010,Abu Dhabi GP,Vettel,Hamilton,Button,6.602
2010,Australian GP,Button,Kubica,Massa,8.638
2010,Malaysian GP,Vettel,Webber,Rosberg,6.684
2010,Chinese GP,Button,Hamilton,Rosberg,8.326
2010,Spanish GP,Webber,Alonso,Vettel,4.919
2010,Monaco GP,Webber,Vettel,Kubica,6.217
2010,Turkish GP,Hamilton,Button,Webber,7.984
2010,Canadian GP,Hamilton,Button,Alonso,8.668
2010,European GP,Vettel,Hamilton,Button,5.454
2011,Australian GP,Vettel,Hamilton,Petrov,6.751
2011,German GP,Hamilton,Alonso,Webber,8.43
2011,Hungarian GP,Button,Vettel,Alonso,8.344
2011,Belgian GP,Vettel,Webber,Button,7.772
2011,Italian GP,Vettel,Button,Alonso,7.494
2011,Singapore GP,Vettel,Button,Webber,6.39
2011,Japanese GP,Button,Alonso,Vettel,7.57
2011,Korean GP,Vettel,Hamilton,Webber,6.915
2011,Indian GP,Vettel,Button,Alonso,5.555
2011,Abu Dhabi GP,Hamilton,Alonso,Button,6.127
2011,Brazilian GP,Webber,Vettel,Button,5.771
2011,Malaysian GP,Vettel,Button,Heidfeld,7.775
2011,Chinese GP,Hamilton,Vettel,Webber,9.241
2011,Turkish GP,Vettel,Webber,Alonso,7.306
2011,Spanish GP,Vettel,Hamilton,Button,7.319
2011,Monaco GP,Vettel,Alonso,Button,7.684
2011,Canadian GP,Button,Vettel,Webber,9.095
2011,European GP,Vettel,Alonso,Webber,3.871
2011,British GP,Alonso,Vettel,Webber,7.96
2012,Australian GP,Button,Vettel,Hamilton,7.662
2012,German GP,Alonso,Vettel,Button,7.055
2012,Hungarian GP,Hamilton,Raikkonen,Grosjean,5.975
2012,Belgian GP,Button,Vettel,Raikkonen,7.467
2012,Italian GP,Hamilton,Perez,Alonso,7.64
2012,Singapore GP,Vettel,Button,Alonso,5.998
2012,Japanese GP,Vettel,Massa,Kobayashi,6.381
2012,Korean GP,Vettel,Webber,Alonso,5.158
2012,Indian GP,Vettel,Alonso,Webber,5.194
2012,Abu Dhabi GP,Raikkonen,Alonso,Vettel,8.854
2012,United States GP,Hamilton,Vettel,Alonso,8.772
2012,Malaysian GP,Alonso,Perez,Hamilton,8.452
2012,Brazilian GP,Button,Alonso,Massa,9.449
2012,Chinese GP,Rosberg,Button,Hamilton,8.648
2012,Bahrain GP,Vettel,Raikkonen,Grosjean,6.904
2012,Spanish GP,Maldonado,Alonso,Raikkonen,8.274
2012,Monaco GP,Webber,Rosberg,Alonso,5.436
2012,Canadian GP,Hamilton,Grosjean,Perez,8.197
2012,European GP,Alonso,Raikkonen,Schumacher,8.784
2012,British GP,Webber,Alonso,Vettel,7.048
2013,Australian GP,Raikkonen,Alonso,Vettel,7.698
2013,Hungarian GP,Hamilton,Raikkonen,Vettel,7.677
2013,Belgian GP,Vettel,Alonso,Hamilton,5.688
2013,Italian GP,Vettel,Alonso,Webber,5.84
2013,Singapore GP,Vettel,Alonso,Raikkonen,5.973
2013,Korean GP,Vettel,Raikkonen,Grosjean,7.351
2013,Japanese GP,Vettel,Webber,Grosjean,7.338
2013,Indian GP,Vettel,Rosberg,Grosjean,6.502
2013,Abu Dhabi GP,Vettel,Webber,Rosberg,5.017
2013,United States GP,Vettel,Grosjean,Webber,5.396
2013,Brazilian GP,Vettel,Webber,Alonso,7.144
2013,Malaysian GP,Vettel,Webber,Hamilton,6.826
2013,Chinese GP,Alonso,Raikkonen,Hamilton,7.412
2013,Bahrain GP,Vettel,Raikkonen,Grosjean,7.826
2013,Spanish GP,Alonso,Raikkonen,Massa,5.947
2013,Monaco GP,Rosberg,Vettel,Webber,6.132
2013,Canadian GP,Vettel,Alonso,Hamilton,6.329
2013,British GP,Rosberg,Webber,Alonso,7.394
2013,German GP,Vettel,Raikkonen,Grosjean,7.643
2014,Australian GP,Rosberg,Ricciardo,Magnussen,6.89
2014,German GP,Rosberg,Bottas,Hamilton,7.86
2014,Hungarian GP,Ricciardo,Alonso,Hamilton,9.14
2014,Belgian GP,Ricciardo,Rosberg,Bottas,7.76
2014,Italian GP,Hamilton,Rosberg,Massa,7.42
2014,Singapore GP,Hamilton,Vettel,Ricciardo,6.43
2014,Russian GP,Hamilton,Rosberg,Bottas,4.06
2014,United States GP,Hamilton,Rosberg,Ricciardo,7.33
2014,Brazilian GP,Rosberg,Hamilton,Massa,7.22
2014,Abu Dhabi GP,Hamilton,Massa,Bottas,6.49
2014,Malaysian GP,Hamilton,Rosberg,Vettel,5.9
2014,Bahrain GP,Hamilton,Rosberg,Perez,9.095
2014,Chinese GP,Hamilton,Rosberg,Alonso,5.47
2014,Spanish GP,Hamilton,Rosberg,Ricciardo,6.45
2014,Monaco GP,Rosberg,Hamilton,Ricciardo,7.04
2014,Canadian GP,Ricciardo,Rosberg,Vettel,9.19
2014,Austrian GP,Rosberg,Hamilton,Bottas,6.7
2014,British GP,Hamilton,Bottas,Ricciardo,7.85
2015,Australian GP,Hamilton,Rosberg,Vettel,4.75
2015,Hungarian GP,Vettel,Kvyat,Ricciardo,9.11
2015,Belgian GP,Hamilton,Rosberg,Grosjean,6.39
2015,Italian GP,Hamilton,Vettel,Massa,5.64
2015,Singapore GP,Vettel,Ricciardo,Raikkonen,6.55
2015,Japanese GP,Hamilton,Rosberg,Vettel,5.21
2015,Russian GP,Hamilton,Vettel,Perez,6.96
2015,United States GP,Hamilton,Rosberg,Vettel,9.1
2015,Mexican GP,Rosberg,Hamilton,Bottas,5.44
2015,Brazilian GP,Rosberg,Hamilton,Vettel,4.57
2015,Abu Dhabi GP,Rosberg,Hamilton,Raikkonen,5.25
2015,Malaysian GP,Vettel,Hamilton,Rosberg,8.37
2015,Chinese GP,Hamilton,Rosberg,Vettel,5.72
2015,Bahrain GP,Hamilton,Raikkonen,Rosberg,7.366
2015,Spanish GP,Rosberg,Hamilton,Vettel,5.15
2015,Monaco GP,Rosberg,Vettel,Hamilton,5.63
2015,Canadian GP,Hamilton,Rosberg,Bottas,5.54
2015,Austrian GP,Rosberg,Hamilton,Massa,5.6
2015,British GP,Hamilton,Rosberg,Vettel,7.95
2016,Australian GP,Rosberg,Hamilton,Vettel,7.757
2016,British GP,Hamilton,Rosberg,Verstappen,6.47
2016,Hungarian GP,Hamilton,Rosberg,Ricciardo,5.11
2016,German GP,Hamilton,Ricciardo,Verstappen,5.9
2016,Belgian GP,Rosberg,Ricciardo,Hamilton,7.21
2016,Italian GP,Rosberg,Hamilton,Vettel,4.96
2016,Singapore GP,Rosberg,Ricciardo,Hamilton,7.17
2016,Malaysian GP,Ricciardo,Verstappen,Rosberg,8.05
2016,United States GP,Hamilton,Rosberg,Ricciardo,6.09
2016,Mexican GP,Hamilton,Rosberg,Verstappen,5.91
2016,Bahrain GP,Rosberg,Raikkonen,Hamilton,7.382
2016,Brazilian GP,Hamilton,Rosberg,Verstappen,8.2
2016,Abu Dhabi GP,Hamilton,Rosberg,Vettel,7.6
2016,Chinese GP,Rosberg,Vettel,Kvyat,7.853
2016,Russian GP,Rosberg,Hamilton,Raikkonen,5.32
2016,Spanish GP,Verstappen,Raikkonen,Vettel,8.72
2016,Monaco GP,Hamilton,Ricciardo,Perez,7.81
2016,Canadian GP,Hamilton,Vettel,Bottas,6.61
2016,European GP,Rosberg,Vettel,Perez,4.71
2016,Austrian GP,Hamilton,Verstappen,Raikkonen,8.02
2017,Australian GP,Vettel,Hamilton,Bottas,6.47
2017,British GP,Hamilton,Bottas,Raikkonen,6.51
2017,Hungarian GP,Vettel,Raikkonen,Bottas,5.9
2017,Belgian GP,Hamilton,Vettel,Ricciardo,7.25
2017,Italian GP,Hamilton,Bottas,Vettel,5.93
2017,Singapore GP,Hamilton,Ricciardo,Bottas,6.4
2017,Malaysian GP,Verstappen,Hamilton,Ricciardo,7.4
2017,Japanese GP,Hamilton,Verstappen,Ricciardo,6.1
2017,United States GP,Hamilton,Vettel,Raikkonen,7.7
2017,Mexican GP,Verstappen,Bottas,Raikkonen,6.8
2017,Brazilian GP,Vettel,Bottas,Raikkonen,6.74
2017,Chinese GP,Hamilton,Vettel,Verstappen,7.5
2017,Abu Dhabi GP,Bottas,Hamilton,Vettel,3.76
2017,Bahrain GP,Vettel,Hamilton,Bottas,7.9
2017,Russian GP,Bottas,Vettel,Raikkonen,4.9
2017,Spanish GP,Hamilton,Vettel,Ricciardo,7.85
2017,Monaco GP,Vettel,Raikkonen,Ricciardo,4.93
2017,Canadian GP,Hamilton,Bottas,Ricciardo,7.63
2017,Azerbaijan GP,Ricciardo,Bottas,Stroll,8.8
2017,Austrian GP,Bottas,Vettel,Ricciardo,5.85
2018,Australian GP,Vettel,Hamilton,Raikkonen,6.1
2018,British GP,Vettel,Hamilton,Raikkonen,8.69
2018,German GP,Hamilton,Bottas,Raikkonen,8.12
2018,Hungarian GP,Hamilton,Vettel,Raikkonen,6.11
2018,Belgian GP,Vettel,Hamilton,Verstappen,5.29
2018,Bahrain GP,Vettel,Bottas,Hamilton,8.36
2018,Chinese GP,Ricciardo,Bottas,Raikkonen,8.59
2018,Azerbaijan GP,Hamilton,Raikkonen,Perez,8.57
2018,Spanish GP,Hamilton,Bottas,Verstappen,4.85
2018,Monaco GP,Ricciardo,Vettel,Hamilton,5.23
2018,Canadian GP,Vettel,Bottas,Verstappen,4.24
2018,French GP,Hamilton,Verstappen,Raikkonen,6.47
2018,Austrian GP,Verstappen,Raikkonen,Vettel,8.01